,age,workclass,education,gender
199,24, Self-emp-not-inc, HS-grad, Male
200,26, Private, Masters, Female
201,19, ?, HS-grad, Male
202,51, Private, Bachelors, Male
203,42, Local-gov, Some-college, Female
204,37, State-gov, HS-grad, Female
205,18, Private, 11th, Female
206,36, Private, Bachelors, Male
207,35, Private, HS-grad, Male
208,58, Self-emp-inc, HS-grad, Female
209,17, Private, 11th, Female
210,44, Local-gov, HS-grad, Male
211,37, Private, HS-grad, Male
212,35, Private, Some-college, Female
213,60, Private, HS-grad, Male
214,54, Self-emp-inc, 7th-8th, Male
215,37, Private, Bachelors, Male
216,50, Private, Assoc-acdm, Female
217,38, Private, Bachelors, Male
218,45, Private, Bachelors, Male
219,25, Private, 10th, Male
220,31, Private, Some-college, Male
221,64, ?, 1st-4th, Male
222,90, Private, HS-grad, Male
223,54, Private, HS-grad, Male
224,53, Local-gov, Preschool, Female
225,18, Private, HS-grad, Female
226,60, ?, 10th, Female
227,66, Self-emp-not-inc, HS-grad, Male
228,75, Private, Assoc-voc, Female
229,65, Private, HS-grad, Female
230,35, Private, 11th, Male
231,41, Private, HS-grad, Female
232,25, Private, Some-college, Male
233,33, Private, Some-college, Female
234,28, Private, Prof-school, Male
235,59, State-gov, HS-grad, Male
236,40, State-gov, Some-college, Female
237,41, Private, Bachelors, Male
238,38, Local-gov, Masters, Male
239,23, Private, HS-grad, Male
240,40, Private, Bachelors, Male
241,41, Self-emp-not-inc, HS-grad, Female
242,24, State-gov, Assoc-acdm, Male
243,20, ?, Some-college, Male
244,38, Private, Some-college, Male
245,56, Private, HS-grad, Male
246,58, Private, HS-grad, Male
247,32, Private, HS-grad, Female
248,40, Private, Assoc-acdm, Male
249,45, Private, HS-grad, Male
250,41, Private, Prof-school, Female
251,42, Private, Bachelors, Female
252,59, Local-gov, 10th, Female
253,19, Local-gov, Some-college, Male
254,58, Private, Some-college, Male
255,42, Self-emp-not-inc, HS-grad, Male
256,20, Private, HS-grad, Female
257,32, Private, HS-grad, Female
258,45, Private, Assoc-voc, Female
259,50, Private, 7th-8th, Male
260,36, Private, Bachelors, Female
261,45, Private, HS-grad, Male
262,17, Private, 11th, Male
263,59, Private, Some-college, Male
264,26, Private, 11th, Male
265,37, Self-emp-inc, Some-college, Male
266,19, ?, Some-college, Male
267,64, Private, HS-grad, Male
268,33, Private, Bachelors, Female
269,33, Private, HS-grad, Female
270,61, Private, HS-grad, Male
271,17, Private, 9th, Male
272,50, Self-emp-not-inc, Masters, Male
273,27, Local-gov, Masters, Male
274,30, Private, HS-grad, Female
275,43, Private, HS-grad, Male
276,44, Private, Some-college, Male
277,35, Private, Some-college, Female
278,25, Private, Some-college, Female
279,24, Private, Some-college, Female
280,22, Private, Bachelors, Female
281,42, Local-gov, Some-college, Male
282,34, Private, Assoc-acdm, Female
283,60, Private, Bachelors, Female
284,21, Private, HS-grad, Male
285,57, Federal-gov, Masters, Male
286,41, Private, Prof-school, Male
287,50, Private, Some-college, Male
288,25, Private, Bachelors, Female
289,50, Private, 7th-8th, Male
290,36, Private, Bachelors, Male
291,31, Private, HS-grad, Female
292,29, Local-gov, Bachelors, Male
293,21, Private, Some-college, Male
294,27, Private, Bachelors, Female
295,65, Private, HS-grad, Male
296,37, Self-emp-inc, Bachelors, Female
297,39, ?, Masters, Female
298,24, Private, HS-grad, Male
299,38, Private, HS-grad, Male
300,48, Private, Bachelors, Male
301,21, Private, Some-college, Female
302,31, Private, HS-grad, Male
303,55, Private, HS-grad, Male
304,24, Private, Some-college, Female
305,43, Private, HS-grad, Female
306,26, Private, Assoc-acdm, Male
307,46, Private, Assoc-acdm, Female
308,35, Private, Assoc-acdm, Male
309,41, Self-emp-inc, Some-college, Male
310,26, Private, Bachelors, Male
311,34, Private, Masters, Male
312,19, ?, Some-college, Female
313,36, Self-emp-not-inc, Bachelors, Female
314,22, Private, Some-college, Male
315,24, Private, Some-college, Male
316,77, Self-emp-not-inc, Some-college, Male
317,22, Private, 5th-6th, Female
318,29, Private, Some-college, Female
319,62, Private, HS-grad, Female
320,39, Self-emp-not-inc, HS-grad, Male
321,43, Private, Some-college, Male
322,35, Private, HS-grad, Male
323,29, Private, 11th, Female
324,76, Self-emp-not-inc, Masters, Male
325,63, Self-emp-not-inc, HS-grad, Male
326,23, ?, Assoc-voc, Female
327,43, Private, Some-college, Female
328,58, Self-emp-not-inc, HS-grad, Male
329,66, Private, HS-grad, Male
330,41, Private, Some-college, Male
331,26, Private, Bachelors, Male
332,47, Private, Assoc-voc, Male
333,55, Local-gov, 10th, Male
334,53, Private, HS-grad, Male
335,17, Private, 5th-6th, Male
336,30, Private, HS-grad, Male
337,49, Private, Masters, Male
338,19, Private, HS-grad, Male
339,45, Private, HS-grad, Male
340,26, Private, Assoc-acdm, Male
341,38, Private, Assoc-voc, Male
342,36, State-gov, HS-grad, Male
343,33, Private, HS-grad, Male
344,22, State-gov, Some-college, Female
345,43, Self-emp-not-inc, Bachelors, Male
346,67, ?, 11th, Male
347,30, ?, Assoc-voc, Female
348,56, Private, Assoc-acdm, Male
349,31, Private, Bachelors, Male
350,33, Private, Bachelors, Male
351,26, Private, HS-grad, Male
352,33, Private, Bachelors, Male
353,46, Local-gov, 11th, Male
354,59, ?, Bachelors, Male
355,38, Federal-gov, HS-grad, Male
356,65, Private, 11th, Male
357,40, Private, Assoc-voc, Male
358,42, Private, HS-grad, Female
359,26, Self-emp-not-inc, 9th, Male
360,36, Private, 10th, Female
361,62, Private, Masters, Male
362,43, Private, Bachelors, Male
363,43, Private, Bachelors, Male
364,22, Private, HS-grad, Male
365,28, Private, HS-grad, Male
366,56, Self-emp-not-inc, Some-college, Male
367,22, Private, Assoc-acdm, Female
368,57, Private, Bachelors, Female
369,39, Private, HS-grad, Female
370,26, Federal-gov, Some-college, Female
371,17, Private, 11th, Male
372,40, State-gov, Assoc-voc, Male
373,45, Private, HS-grad, Male
374,44, Private, HS-grad, Male
375,20, Local-gov, Some-college, Female
376,33, Private, HS-grad, Female
377,23, Private, Some-college, Male
378,46, Self-emp-not-inc, Masters, Male
379,38, Private, HS-grad, Male
380,54, Private, HS-grad, Male
381,46, Private, 5th-6th, Female
382,25, Private, Some-college, Male
383,46, Private, Some-college, Female
384,36, Local-gov, Some-college, Female
385,23, Private, HS-grad, Female
386,29, Private, HS-grad, Male
387,44, Private, Some-college, Female
388,19, Private, Some-college, Female
389,19, Private, HS-grad, Female
390,35, Private, HS-grad, Female
391,27, Private, Bachelors, Male
392,46, Self-emp-not-inc, Assoc-acdm, Male
393,34, State-gov, Bachelors, Male
394,34, Private, HS-grad, Female
395,44, Private, Some-college, Male
396,45, Private, Some-college, Female
397,20, ?, HS-grad, Female
398,25, Private, Bachelors, Male
399,52, Self-emp-inc, Bachelors, Male
400,20, Private, Some-college, Male
401,28, Private, Some-college, Female
402,50, State-gov, Bachelors, Male
403,34, Private, Assoc-voc, Female
404,28, Private, 7th-8th, Male
405,41, Private, Masters, Male
406,28, Private, HS-grad, Male
407,46, Self-emp-not-inc, HS-grad, Male
408,28, ?, Some-college, Female
409,32, Private, Some-college, Male
410,41, Local-gov, Some-college, Female
411,24, Private, HS-grad, Female
412,33, Private, Some-college, Female
413,46, Private, Doctorate, Male
414,31, State-gov, Some-college, Male
415,35, Private, 12th, Male
416,52, Private, 1st-4th, Male
417,30, Private, 11th, Female
418,34, Local-gov, 11th, Male
419,34, State-gov, HS-grad, Female
420,20, Private, Some-college, Male
421,17, Private, 11th, Male
422,32, State-gov, Bachelors, Female
423,29, Private, HS-grad, Male
424,33, Private, 10th, Female
425,25, Private, HS-grad, Male
426,36, Federal-gov, Masters, Male
427,23, Private, HS-grad, Male
428,63, Self-emp-inc, HS-grad, Male
429,47, Local-gov, Masters, Male
430,80, ?, HS-grad, Male
431,17, ?, 11th, Male
432,40, Self-emp-not-inc, Bachelors, Female
433,30, Private, Assoc-acdm, Female
434,27, Private, Some-college, Male
435,33, Private, Masters, Male
436,34, Local-gov, HS-grad, Male
437,34, Local-gov, Some-college, Female
438,23, Private, Some-college, Male
439,42, Local-gov, Some-college, Female
440,29, Private, Bachelors, Male
441,45, Private, HS-grad, Female
442,24, Federal-gov, HS-grad, Male
443,44, Private, Some-college, Male
444,27, Private, 9th, Male
445,20, Private, Some-college, Male
446,44, Private, HS-grad, Female
447,51, Private, HS-grad, Male
448,20, Private, HS-grad, Male
449,17, ?, 11th, Female
450,19, Private, HS-grad, Female
451,45, Self-emp-inc, Some-college, Male
452,60, Private, HS-grad, Male
453,42, Private, Assoc-acdm, Male
454,44, Self-emp-not-inc, HS-grad, Female
455,40, Private, Assoc-voc, Male
456,30, Private, HS-grad, Female
457,38, Private, Some-college, Male
458,23, Private, HS-grad, Male
459,32, ?, Some-college, Male
460,44, Private, Assoc-acdm, Male
461,54, Local-gov, HS-grad, Male
462,32, Private, Bachelors, Male
463,50, Private, 1st-4th, Male
464,24, Private, Bachelors, Female
465,37, Private, HS-grad, Female
466,52, Private, HS-grad, Male
467,38, Private, Some-college, Male
468,49, Private, Masters, Male
469,30, Private, Bachelors, Female
470,60, Private, Some-college, Male
471,22, ?, Some-college, Male
472,35, Private, HS-grad, Male
473,30, Private, HS-grad, Male
474,67, Private, Assoc-voc, Female
475,46, Private, Bachelors, Female
476,17, Private, 9th, Male
477,22, Private, Some-college, Male
478,27, Private, 10th, Male
479,23, Private, HS-grad, Female
480,33, Private, Assoc-acdm, Male
481,43, Self-emp-not-inc, Some-college, Male
482,28, State-gov, Bachelors, Male
483,41, Private, HS-grad, Female
484,52, ?, 12th, Male
485,25, Private, Some-college, Female
486,63, ?, 1st-4th, Male
487,59, Local-gov, HS-grad, Male
488,45, Local-gov, Bachelors, Female
489,38, Private, Bachelors, Male
490,40, Private, HS-grad, Female
491,46, Federal-gov, HS-grad, Male
492,35, Private, Assoc-acdm, Female
493,34, Private, HS-grad, Female
494,33, Private, Bachelors, Male
495,41, Private, HS-grad, Female
496,20, Private, Some-college, Male
497,23, Private, 5th-6th, Male
498,26, Private, Some-college, Female
499,72, ?, HS-grad, Male
500,23, Local-gov, HS-grad, Male
501,62, Local-gov, HS-grad, Male
502,52, Private, Some-college, Male
503,58, Private, Some-college, Female
504,25, Private, Bachelors, Female
505,24, Private, Bachelors, Male
506,19, Private, Some-college, Male
507,43, Private, Some-college, Male
508,47, Local-gov, HS-grad, Female
509,39, Private, HS-grad, Female
510,49, Private, Assoc-voc, Male
511,53, ?, 5th-6th, Female
512,32, Private, Assoc-voc, Male
513,34, Private, Some-college, Male
514,28, Private, HS-grad, Male
515,57, ?, Assoc-voc, Female
516,25, Private, Some-college, Female
517,20, ?, Some-college, Male
518,21, ?, Some-college, Female
519,34, Private, Bachelors, Male
520,38, Self-emp-inc, Bachelors, Male
521,50, Private, HS-grad, Male
522,24, Local-gov, Some-college, Male
523,37, Local-gov, Some-college, Male
524,44, Private, Some-college, Male
525,28, Private, Some-college, Female
526,42, Private, Bachelors, Male
527,74, Private, Some-college, Female
528,38, Self-emp-not-inc, HS-grad, Male
529,44, Self-emp-not-inc, Masters, Male
530,44, Private, 11th, Female
531,26, Private, HS-grad, Male
532,36, Private, HS-grad, Male
533,41, Private, Assoc-acdm, Female
534,67, Private, Prof-school, Male
535,39, Local-gov, 12th, Male
536,57, Private, 1st-4th, Female
537,29, Private, Assoc-voc, Male
538,31, Self-emp-inc, Bachelors, Female
539,34, ?, HS-grad, Female
540,44, Private, Some-college, Male
541,29, Private, Doctorate, Male
542,30, Private, Some-college, Female
543,27, Private, HS-grad, Male
544,27, Private, Some-college, Male
545,32, Private, HS-grad, Female
546,58, Private, 10th, Female
547,35, Local-gov, Some-college, Male
548,21, Private, HS-grad, Male
549,28, Private, Some-college, Male
550,46, Self-emp-not-inc, Some-college, Male
551,36, Self-emp-not-inc, HS-grad, Female
552,72, Private, 11th, Female
553,35, Private, HS-grad, Female
554,33, Federal-gov, Assoc-voc, Female
555,69, Private, 11th, Female
556,35, Private, HS-grad, Male
557,31, Private, HS-grad, Female
558,34, Private, HS-grad, Female
559,30, Private, 11th, Male
560,28, Private, Bachelors, Male
561,54, Private, Bachelors, Male
562,47, Private, Some-college, Male
563,24, Private, HS-grad, Female
564,52, Self-emp-not-inc, Bachelors, Male
565,20, Private, HS-grad, Male
566,43, Self-emp-inc, Masters, Male
567,45, Private, 7th-8th, Female
568,29, Self-emp-not-inc, HS-grad, Male
569,47, Private, Masters, Male
570,24, Private, HS-grad, Male
571,51, Private, HS-grad, Male
572,17, Private, 11th, Male
573,37, Private, Assoc-voc, Male
574,27, Private, Doctorate, Female
575,29, Private, Bachelors, Male
576,18, ?, 12th, Male
577,36, Self-emp-not-inc, Assoc-acdm, Female
578,58, Local-gov, Bachelors, Female
579,26, Self-emp-not-inc, Some-college, Male
580,65, ?, Some-college, Male
581,57, Private, HS-grad, Male
582,59, Private, HS-grad, Male
583,27, Private, HS-grad, Male
584,31, Self-emp-not-inc, Bachelors, Male
585,21, Private, Some-college, Female
586,29, Private, Some-college, Male
587,18, Private, 11th, Male
588,52, Private, 10th, Male
589,57, Self-emp-inc, Bachelors, Male
590,42, ?, HS-grad, Male
591,55, ?, HS-grad, Female
592,60, Private, 7th-8th, Male
593,31, Private, Bachelors, Male
594,23, Private, Bachelors, Female
595,27, Private, HS-grad, Male
596,23, ?, Some-college, Female
597,42, Self-emp-not-inc, Prof-school, Male
598,25, Private, Some-college, Male
599,49, Private, Bachelors, Female
600,32, Private, Bachelors, Male
601,19, Private, Some-college, Male
602,60, Private, 7th-8th, Female
603,42, Local-gov, 9th, Male
604,35, Self-emp-not-inc, Assoc-acdm, Male
605,48, Private, HS-grad, Female
606,51, Private, Masters, Male
607,29, Private, HS-grad, Male
608,36, Local-gov, HS-grad, Male
609,17, Private, 10th, Female
610,52, Private, Masters, Female
611,24, Private, HS-grad, Male
612,24, Private, HS-grad, Male
613,26, Local-gov, Bachelors, Male
614,27, Private, Bachelors, Female
615,39, Private, HS-grad, Male
616,30, Private, HS-grad, Male
617,50, Self-emp-not-inc, HS-grad, Male
618,52, Self-emp-inc, Bachelors, Male
619,46, Private, Prof-school, Male
620,23, Private, Bachelors, Female
621,45, Private, 11th, Female
622,65, Private, 9th, Female
623,29, Private, Assoc-voc, Male
624,47, Private, 9th, Male
625,30, Private, HS-grad, Male
626,34, Private, HS-grad, Male
627,38, Self-emp-not-inc, HS-grad, Male
628,33, Private, Some-college, Male
629,49, Private, Bachelors, Male
630,47, Self-emp-not-inc, Some-college, Female
631,49, Local-gov, 10th, Female
632,43, Private, Some-college, Male
633,30, Private, Bachelors, Female
634,58, Self-emp-not-inc, HS-grad, Male
635,19, Private, HS-grad, Female
636,21, Private, Bachelors, Male
637,33, Private, Bachelors, Male
638,47, Self-emp-inc, 5th-6th, Male
639,52, Self-emp-not-inc, Doctorate, Male
640,26, Private, HS-grad, Male
641,60, Private, HS-grad, Male
642,21, Private, Some-college, Male
643,36, Private, Some-college, Male
644,31, Private, Some-college, Male
645,50, Self-emp-inc, Doctorate, Male
646,31, Local-gov, HS-grad, Female
647,71, Private, HS-grad, Male
648,58, ?, HS-grad, Male
649,30, State-gov, Bachelors, Male
650,20, Private, Some-college, Male
651,24, Private, HS-grad, Male
652,35, Private, Doctorate, Male
653,38, State-gov, Some-college, Female
654,27, Private, HS-grad, Female
655,29, State-gov, Some-college, Female
656,70, ?, 9th, Female
657,34, Private, HS-grad, Male
658,44, Private, 7th-8th, Male
659,43, Private, HS-grad, Male
660,44, Self-emp-not-inc, 12th, Male
661,35, Private, Masters, Male
662,27, Private, Some-college, Male
663,43, Local-gov, Masters, Male
664,20, Private, Some-college, Female
665,42, Private, Assoc-acdm, Female
666,27, State-gov, Some-college, Male
667,42, Private, HS-grad, Male
668,20, ?, 11th, Female
669,24, Private, 9th, Male
670,48, Federal-gov, Some-college, Male
671,17, ?, 11th, Female
672,17, Self-emp-not-inc, 11th, Male
673,33, Private, Bachelors, Male
674,50, Self-emp-inc, HS-grad, Male
675,22, Private, HS-grad, Female
676,17, Private, 12th, Male
677,32, Private, Some-college, Male
678,31, Private, HS-grad, Male
679,58, Self-emp-not-inc, HS-grad, Male
680,29, Local-gov, HS-grad, Male
681,37, Private, Assoc-voc, Male
682,34, Self-emp-not-inc, HS-grad, Male
683,23, Local-gov, Some-college, Male
684,18, State-gov, 11th, Female
685,34, Private, HS-grad, Female
686,66, ?, 7th-8th, Male
687,45, Local-gov, Bachelors, Female
688,41, Private, Masters, Male
689,26, Private, HS-grad, Male
690,54, Local-gov, Some-college, Male
691,24, Private, Some-college, Female
692,42, Private, Some-college, Male
693,20, Private, Some-college, Male
694,23, State-gov, Bachelors, Female
695,25, ?, Assoc-acdm, Male
696,35, Private, Masters, Male
697,31, Private, Masters, Male
698,30, Private, Bachelors, Female
699,19, Private, HS-grad, Female
700,36, Local-gov, Bachelors, Male
701,31, Private, Bachelors, Female
702,21, Private, Some-college, Male
703,31, Self-emp-not-inc, Some-college, Male
704,46, Private, Doctorate, Female
705,44, Private, Bachelors, Female
706,40, Private, 12th, Male
707,45, Private, Some-college, Male
708,60, Private, HS-grad, Male
709,18, Private, 11th, Male
710,28, Private, Bachelors, Male
711,36, Private, Some-college, Female
712,36, Private, Bachelors, Male
713,40, Private, Assoc-voc, Male
714,36, Local-gov, Bachelors, Female
715,31, Private, HS-grad, Female
716,33, Private, HS-grad, Male
717,19, State-gov, HS-grad, Female
718,22, Private, Some-college, Female
719,34, Private, Bachelors, Male
720,33, Private, HS-grad, Male
721,41, Private, HS-grad, Male
722,29, Private, Bachelors, Male
723,50, Local-gov, HS-grad, Male
724,42, Private, Bachelors, Male
725,43, Private, Bachelors, Male
726,44, Private, HS-grad, Female
727,20, Private, Some-college, Female
728,31, Private, HS-grad, Male
729,65, Self-emp-not-inc, 11th, Male
730,23, Private, Some-college, Female
731,55, Private, Some-college, Female
732,26, Private, Assoc-voc, Male
733,25, Private, Assoc-voc, Female
734,45, ?, Some-college, Female
735,35, Private, Some-college, Male
736,36, Private, Some-college, Female
737,43, State-gov, Bachelors, Male
738,56, Private, HS-grad, Female
739,42, Private, Bachelors, Male
740,19, Private, Some-college, Female
741,55, Self-emp-not-inc, HS-grad, Male
742,42, Private, Masters, Female
743,26, Private, Assoc-voc, Male
744,17, Private, 12th, Male
745,42, Local-gov, Bachelors, Female
746,55, Private, HS-grad, Male
747,32, Private, Some-college, Female
748,29, Private, 11th, Male
749,46, State-gov, Bachelors, Male
750,29, State-gov, Bachelors, Male
751,22, Private, Bachelors, Male
752,58, Self-emp-not-inc, 10th, Male
753,23, Private, HS-grad, Male
754,39, Private, HS-grad, Male
755,27, Private, Assoc-voc, Male
756,54, Private, HS-grad, Male
757,33, Local-gov, Bachelors, Female
758,46, Federal-gov, HS-grad, Female
759,37, Private, HS-grad, Male
760,36, Private, HS-grad, Female
761,59, Local-gov, HS-grad, Female
762,34, Local-gov, HS-grad, Male
763,53, Self-emp-inc, Doctorate, Male
764,51, Private, Bachelors, Male
765,32, Private, 10th, Female
766,31, State-gov, Some-college, Male
767,22, Private, Some-college, Female
768,47, Self-emp-not-inc, Bachelors, Female
769,32, Private, HS-grad, Male
770,26, Private, Some-college, Female
771,37, Private, 5th-6th, Male
772,31, Private, HS-grad, Male
773,37, Private, Assoc-voc, Female
774,55, Private, HS-grad, Male
775,23, Local-gov, Assoc-voc, Male
776,36, Private, Some-college, Female
777,34, Private, Masters, Male
778,43, Private, Bachelors, Male
779,54, Private, Some-college, Male
780,43, State-gov, Some-college, Male
781,28, Private, Assoc-voc, Female
782,40, Private, Assoc-voc, Male
783,41, Self-emp-not-inc, Some-college, Male
784,40, Private, Bachelors, Female
785,42, Private, Some-college, Female
786,61, Self-emp-not-inc, HS-grad, Male
787,18, Private, 12th, Male
788,59, ?, HS-grad, Male
789,21, ?, HS-grad, Female
790,48, Private, Assoc-voc, Male
791,41, Self-emp-inc, Bachelors, Male
792,18, ?, Some-college, Male
793,23, Private, HS-grad, Female
794,60, Private, HS-grad, Male
795,22, Private, Some-college, Male
796,61, Private, HS-grad, Male
797,25, Private, HS-grad, Male
798,46, Private, Masters, Male
799,43, Private, Bachelors, Male
800,43, Private, Assoc-acdm, Male
801,24, Private, HS-grad, Male
802,68, Self-emp-not-inc, 11th, Male
803,31, Private, HS-grad, Female
804,17, Private, 11th, Female
805,32, Private, HS-grad, Male
806,50, ?, Masters, Male
807,33, Private, Bachelors, Male
808,64, Private, Bachelors, Male
809,20, Private, HS-grad, Male
810,30, Private, HS-grad, Female
811,22, ?, Some-college, Male
812,43, Private, Some-college, Male
813,22, Private, Some-college, Male
814,17, Private, 10th, Male
815,47, Self-emp-not-inc, HS-grad, Female
816,41, Private, Assoc-voc, Female
817,56, Private, Some-college, Male
818,64, Private, HS-grad, Male
819,47, Private, HS-grad, Male
820,48, Private, Assoc-voc, Male
821,31, Private, Masters, Female
822,29, Private, Assoc-voc, Male
823,30, Private, HS-grad, Female
824,32, Private, HS-grad, Male
825,57, Private, HS-grad, Male
